Name,Value
Call of Duty Black Ops - Multiplayer,17144.499999999996
Call of Duty Black Ops - Multiplayer OSX,62.7
Call of Duty Black Ops - OSX,31.8
Call of Duty Black Ops II,1420.1000000000001
Call of Duty Black Ops II - Multiplayer,13816.300000000001
Call of Duty Black Ops II - Zombies,1388.9
Call of Duty Black Ops III,1415.8999999999999
Call of Duty Ghosts,638.0999999999998
Call of Duty Ghosts - Multiplayer,3804.6000000000013
Call of Duty Modern Warfare 2,8635.400000000003
Call of Duty Modern Warfare 2 - Multiplayer,42009.90000000001
Call of Duty Modern Warfare 3,5443.599999999998
Call of Duty Modern Warfare 3 - Multiplayer,20602.99999999999
Call of Duty United Offensive,374.1
Call of Duty World at War,2583.4999999999995
Call of Juarez,12.0
Call of Juarez Bound in Blood,33.6
Call of Juarez Gunslinger,341.2999999999999
Call of Juarez The Cartel,104.80000000000001
Call of Tomsk-7,1.5
Call to Arms,75.2
Camera Obscura,20.1
CameraBag 2,2.5
Cannon Brawl,5.3999999999999995
Cannons Lasers Rockets,1.9000000000000001
Canyon Capers,34.699999999999996
Capsized,14.000000000000002
Captain Forever Remix,22.0
Car Mechanic Simulator 2014,62.400000000000006
Car Mechanic Simulator 2015,110.59999999999998
Card City Nights,2.8
Card Hunter,72.3
Cards and Castles,1.7
Cargo Commander,7.0
Cargo! - The quest for gravity,14.0
Caribbean!,17.3
Carmageddon 2 Carpocalypse Now,12.9
Carmageddon Max Pack,2.8
Carmageddon Reincarnation,23.9
Carnage Racing,0.1
Carpe Diem,0.8
Carrier Command Gaea Mission,13.4
Cast of the Seven Godsends,7.4
Castaway Paradise,6.8
Caster,27.199999999999992
Castle,1.3
Castle Crashers,1002.7999999999998
Castle In The Darkness,10.6
Castle Never Judge a Book by its Cover,0.8
Castle Story,109.39999999999999
Castle of Illusion,12.4
CastleMiner Z,68.0
CastleStorm,76.89999999999999
Castlevania Lords of Shadow  Mirror of Fate HD,1.0
Castlevania Lords of Shadow - Ultimate Edition,84.9
Castlevania Lords of Shadow 2,126.4
Cat Goes Fishing,1.0
Catmouth Island,2.6
Cave Story+,286.4
Chains,15.5
Chainsaw Warrior,8.5
Chainsaw Warrior Lords of the Night,7.1
Champions Online,826.3000000000001
Championship Manager 2008,0.4
Championship Manager 2010,10.7
Chantelise,1.4
Chaos Domain,0.5
Chaos Heroes Online,1.0
Chaos on Deponia,81.7
Chaser,8.5
Cherry Tree High Comedy Club,3.1
Cherry Tree High I! My! Girls!,5.3
Chessmaster,1.8
Child of Light,171.4
Children of the Nile,0.5
Children of the Nile Alexandria,2.9
Chime,18.4
Chip,15.0
Chip's Challenge 2,0.6
Chivalry Medieval Warfare,3964.4
Chocolatier Decadence by Design,90.0
Choice Chamber,5.3
Choice of Robots,2.1
Choice of the Deathless,2.2
Chris Sawyer's Locomotion,2.6
Chroma Squad,13.4
Chrome,0.3
Chrome Specforce,0.1
Chronicles of a Dark Lord Episode 1 Tides of Fate Complete,9.899999999999999
Chuzzle Deluxe,6.3
Cinders,6.300000000000001
Circuits,2.1
Citadels,0.5
Cities Skylines,3201.2
Cities XL,5.4
Cities XL - Limited Edition,1.9
Cities XL 2011,76.1
Cities XL 2012,472.0
Cities XL Platinum,168.0
Cities XXL,65.7
Cities in Motion,259.59999999999997
Cities in Motion 2,75.89999999999999
City Life 2008,3.1
City of Heroes,7.6
City of Steam Arkadia,5.8
CivCity Rome,3.0
Civil War II,0.2
Claire,1.2
Clash of Puppets,2.9
Clergy Splode,0.4
Clicker Heroes,12937.399999999998
Clickr,3.0
Clickteam Fusion 2.5,0.3
Clive Barker's Jericho,15.899999999999999
Clockwork Empires,8.5
Clockwork Tales Of Glass and Ink,10.8
Close Combat - Gateway to Caen,1.0
Close Your Eyes,3.8000000000000003
Closure,23.1
Cloud Chamber,22.0
Cloudberry Kingdom,7.2
Cloudbuilt,0.7
Cloudy with a Chance of Meatballs,4.9
Clown House (Palyao Evi),1.5
Clutch,1.0
Cobi Treasure Deluxe,2.1
Codename CURE,128.09999999999997
Codename Gordon,4.300000000000001
Codename Panzers - Cold War,6.3
Coffin Dodgers,8.8
Cognition An Erica Reed Thriller,3.5
Cogs,55.49999999999999
Coil,0.3
Coin Crypt,9.6
Colin McRae Rally,6.6000000000000005
Collapse,3.9000000000000004
Colonial Conquest,0.3
Color Symphony,1.3
ComaMortuary,1.9
Comanche 4,22.0
Combat Arms,163.79999999999998
Combat Wings Battle of Britain,0.6
Command and Conquer 3 Kane's Wrath,137.79999999999998
Command and Conquer 3 Tiberium Wars,167.1
Command and Conquer 4 Tiberian Twilight,235.2
Command and Conquer Red Alert 3,481.69999999999993
Command and Conquer Red Alert 3 - Uprising,217.4
Commander Conquest of the Americas,12.0
Commander Conquest of the Americas Gold,0.7
Commander Keen Complete Pack,6.9
Commando Jack,5.5
Commandos 2 Men of Courage,39.1
Commandos 3 Destination Berlin,3.0
Commandos Behind Enemy Lines,19.599999999999998
Commandos Beyond the Call of Duty,0.2
Community College Hero Trial by Fire,8.1
Company of Heroes,610.1999999999999
Company of Heroes (New Steam Version),1228.2000000000003
Company of Heroes 2,1955.0000000000005
Company of Heroes Europe at War,25.2
Company of Heroes Opposing Fronts,416.4
Company of Heroes Tales of Valor,432.70000000000005
Condemned Criminal Origins,0.3
Conflict Denied Ops,5.7
Confrontation,3.6
Coniclysm,0.3
Conquest of Champions,2.4
Constant C,1.2
Construct 2 Free,17.900000000000002
Construction-Simulator 2015,334.09999999999997
Contagion,199.80000000000007
Containment The Zombie Puzzler,2.3
Contraption Maker,13.2
Contrast,8.2
Controller Companion,1.2
Convoy,10.5
"Cook, Serve, Delicious!",110.99999999999999
Copa Petrobras de Marcas,6.5
Corporate Lifestyle Simulator,0.6
Cortex Command,4.9
Cosmic DJ,2.3
Cosmic Osmo,0.2
Cosmonautica,37.3
Cosmophony,3.5
Cossacks Art of War,99.0
Cossacks Back to War,39.5
Cossacks European Wars,7.0
Cossacks II Battle for Europe,12.2
Cossacks II Napoleonic Wars,9.0
Costume Quest,69.4
Counter-Strike,134261.1
Counter-Strike Condition Zero,7950.000000000002
Counter-Strike Condition Zero Deleted Scenes,418.19999999999993
Counter-Strike Global Offensive,322771.60000000015
Counter-Strike Nexon Zombies,2014.0999999999992
Counter-Strike Source,96075.49999999999
Cradle,34.9
Craft The World,789.2
Crash Time II,21.6
Crawl,26.0
Crayon Physics Deluxe,10.7
Crazy Machines,3.9000000000000004
Crazy Machines 2,15.1
Crazy Plant Shop,4.0
Crazy Taxi,0.6
CreaVures,1.6
Creativerse,188.60000000000002
Creeper World 3 Arc Eternal,24.2
Cricket Captain 2014,28.2
Cricket Revolution,38.4
CrimeCraft GangWars,7.5
Crimsonland,17.2
Crimzon Clover  WORLD IGNITION,3.8000000000000003
Critical Mass,0.1
Critter Crunch,0.2
CroNix,12.399999999999999
Crossfire Europe,5.299999999999999
Crouching Pony Hidden Dragon,0.3
Crowntakers,0.2
Crusader Kings Complete,5.6
Crusader Kings II,9020.7
Crusaders Thy Kingdom Come,1.5
Crusaders of the Lost Idols,618.9000000000001
Cry of Fear,172.50000000000003
Cryostasis,18.1
Crypt of the NecroDancer,353.49999999999994
Crysis,380.1
Crysis 2,156.4
Crysis 2 Maximum Edition,612.9000000000001
Crysis Warhead,190.4
Crysis Wars,26.8
Crystals of Time,3.7
Cthulhu Saves the World ,44.599999999999994
